,Geographic Area Name,LDS Presence,Sister Cities,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!Bachelor's degree,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Total population,Male,Female,Under 18 years,18 years and over,21 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,"Citizen, 18 and over population",Male,Female
596,"Muscatine, IA",0,0,3610,481,1443,433,28552,1546,1998,9908,4358,23490,5953,37866,"38,991","18,895","20,096","7,030","31,961","28,147","6,646","35,584","1,366",92,462,"18,924","31,186","14,941","16,245"
597,"Muskegon, MI",0,0,14893,2494,5317,608,117584,3208,7563,40566,15388,90840,20331,32965,"42,703","21,091","21,612","10,630","32,073","30,421","7,015","37,967","1,011",109,379,"18,199","30,610","15,215","15,395"
598,"Muskogee, OK",0,0,6281,1095,2616,241,45886,1507,5347,16633,6219,25563,5908,32300,"173,679","86,214","87,465","40,078","133,601","127,689","29,433","139,148","23,007","1,261","1,255","74,335","132,147","65,125","67,022"
599,"Myrtle Beach, SC",0,0,31992,4350,11252,2401,335225,9265,24298,105745,54552,260989,76775,29877,"68,451","33,396","35,055","16,686","51,765","48,918","11,393","38,971","7,043","12,543",491,"30,968","50,773","24,371","26,402"
600,"Nacogdoches, TX",0,0,12741,674,2659,725,37475,2544,3730,10944,5784,24579,8029,32086,"481,489","232,015","249,474","82,967","398,522","383,415","126,106","393,205","57,632","2,349","5,747","302,532","385,184","181,827","203,357"
601,"Napa, CA",0,0,12416,1278,3988,967,98220,9562,5108,17644,22549,66681,28328,44039,"65,080","31,186","33,894","15,067","50,013","43,776","9,586","47,763","11,789",678,904,"28,465","46,605","22,033","24,572"
602,"Naples-Immokalee-Marco Island, FL",0,0,24844,4376,9609,2212,274710,19964,17380,69842,59091,219588,94352,31915,"138,572","69,050","69,522","28,555","110,017","104,613","26,610","98,614","2,862",961,"10,485","55,339","96,214","46,847","49,367"
603,"Nashville, TN",1,0,174743,19721,57215,24438,1252170,49167,82368,338993,283002,910068,361986,40087,"379,345","186,753","192,592","65,016","314,329","304,117","122,024","320,517","25,613",748,"5,678","218,348","267,645","128,752","138,893"
604,"Natchez, MS-LA",0,0,4286,899,1659,195,35858,2774,5139,13316,3507,14736,3105,26313,"1,904,186","929,313","974,873","439,940","1,464,246","1,391,973","252,666","1,452,058","289,478","4,541","54,681","788,546","1,383,509","662,109","721,400"
605,"Natchitoches, LA",0,0,6534,784,3089,227,23136,884,2239,8097,2550,12091,2945,27181,"50,636","24,836","25,800","11,296","39,340","37,476","9,264","24,296","24,368",99,218,"24,389","37,175","17,308","19,867"
606,"New Bern, NC",0,0,14266,1174,5702,658,84671,3574,6912,22702,12920,56408,17104,31956,"38,505","18,545","19,960","8,966","29,539","25,930","6,416","19,908","16,305",381,69,"19,286","29,385","13,773","15,612"
607,"Newberry, SC",0,0,3636,642,1219,290,25993,1720,3212,9360,2946,15067,3877,31606,"19,261,570","9,316,130","9,945,440","4,137,839","15,123,731","14,460,337","3,050,174","10,726,055","3,282,688","65,240","2,206,530","7,756,312","12,955,219","6,118,439","6,836,780"
608,"New Castle, IN",0,0,4039,737,1775,196,34427,929,2653,15107,3903,29502,5545,32890,"124,416","62,522","61,894","25,789","98,627","93,391","25,711","87,028","27,044",791,"3,090","60,218","96,208","48,278","47,930"
609,"New Castle, PA",0,0,7341,964,2724,556,62572,1705,4427,27175,8951,53785,12920,34773,"48,158","25,294","22,864","9,963","38,195","36,715","9,105","45,529","1,234",125,163,"21,233","38,088","20,034","18,054"
610,"New Haven-Milford, CT",0,0,86562,9277,27621,13610,595852,23462,35743,183897,111839,423974,171226,47534,"86,148","41,645","44,503","17,182","68,966","65,830","18,952","79,565","3,114",46,323,"41,317","68,593","32,878","35,715"
611,"New Orleans, LA",0,0,106045,16955,34272,11092,874498,39877,77065,248891,164950,482329,192959,37297,"855,733","412,404","443,329","173,017","682,716","643,632","148,857","612,877","116,368","1,555","34,662","367,990","636,220","300,262","335,958"
612,"New Philadelphia, OH",0,0,7133,1356,3330,349,64095,3630,5431,29307,6445,53756,9879,34207,"1,271,651","612,408","659,243","282,781","988,870","945,211","201,687","713,791","444,873","4,530","36,745","559,877","941,995","442,837","499,158"
613,"Newport, OR",0,0,2848,415,1247,117,36834,817,2651,10126,5246,30636,8224,28661,"19,261,570","9,316,130","9,945,440","4,137,839","15,123,731","14,460,337","3,050,174","10,726,055","3,282,688","65,240","2,206,530","7,756,312","12,955,219","6,118,439","6,836,780"
614,"Newport, TN",0,0,2583,353,1538,62,25408,2123,3317,11539,1725,19113,2663,27334,"19,261,570","9,316,130","9,945,440","4,137,839","15,123,731","14,460,337","3,050,174","10,726,055","3,282,688","65,240","2,206,530","7,756,312","12,955,219","6,118,439","6,836,780"
615,"Newton, IA",0,0,2636,329,1200,142,25949,516,1107,11010,3480,23562,4547,35253,"19,261,570","9,316,130","9,945,440","4,137,839","15,123,731","14,460,337","3,050,174","10,726,055","3,282,688","65,240","2,206,530","7,756,312","12,955,219","6,118,439","6,836,780"
616,"New Ulm, MN",0,0,2383,182,580,342,17285,474,811,6502,2642,15524,3481,37410,"92,165","45,472","46,693","21,180","70,985","67,878","17,999","88,898",609,77,360,"40,247","70,133","34,133","36,000"
617,"New York, NY",1,0,1781525,213154,461748,319481,13861832,963631,935681,3460979,3172068,7575876,3741603,48009,"25,076","12,558","12,518","5,468","19,608","18,578","5,310","23,854",183,65,166,"11,750","19,371","9,517","9,854"
618,"Niles-Benton Harbor, MI",0,0,12967,2336,4212,958,107593,3256,7934,31103,17894,81428,25552,33999,"153,797","75,317","78,480","33,497","120,300","114,985","30,446","119,862","21,883",651,"2,517","77,645","116,362","55,961","60,401"
619,"Nogales, AZ",0,0,4484,1225,1123,300,29228,3404,3723,7957,3993,19394,5743,27363,"153,797","75,317","78,480","33,497","120,300","114,985","30,446","119,862","21,883",651,"2,517","77,645","116,362","55,961","60,401"
620,"Norfolk, NE",0,0,4333,390,1246,367,31863,1535,1265,10021,4980,27946,6614,35981,"46,594","22,436","24,158","12,629","33,965","32,052","8,335","36,420",398,292,200,"18,412","28,303","13,888","14,415"
621,"North Platte, NE",0,0,2697,448,1146,99,25170,668,1054,7516,3639,22553,5380,37239,"48,101","24,027","24,074","12,106","35,995","34,139","7,935","43,895",554,558,666,"21,384","34,304","16,929","17,375"
622,"North Port-Sarasota-Bradenton, FL",0,0,49665,8678,18357,3790,605872,19664,33789,179993,117365,506914,183286,34278,"36,358","17,948","18,410","8,660","27,698","26,550","7,035","34,047",561,232,251,"17,512","27,388","13,404","13,984"
623,"North Vernon, IN",0,0,2421,274,1067,264,18797,764,1973,8628,1486,15755,2013,33569,"821,613","394,130","427,483","132,849","688,764","667,173","265,451","710,871","52,735","1,519","16,234","439,870","645,042","305,165","339,877"
624,"North Wilkesboro, NC",0,0,5138,842,1301,266,49067,3926,6596,15436,5234,35925,7104,30410,"27,639","13,983","13,656","6,452","21,187","20,090","4,465","26,558",277,105,14,"12,382","21,042","10,634","10,408"
625,"Norwalk, OH",0,0,4818,1058,2198,228,39362,1595,3033,18335,3507,33430,5064,32617,"68,341","33,685","34,656","13,943","54,398","52,092","14,702","61,780","2,642",140,406,"33,664","52,883","25,681","27,202"
626,"Norwich-New London, CT",0,0,27451,2214,9866,3417,188221,5015,10235,56020,34426,147601,55418,45278,"58,271","28,779","29,492","14,019","44,252","42,260","10,029","55,312",967,216,123,"25,314","43,758","21,413","22,345"
627,"Oak Harbor, WA",0,0,7164,801,2904,358,59402,888,1905,13304,12086,49938,17756,39366,"266,868","133,718","133,150","52,007","214,861","204,547","48,749","213,152","15,622","1,632","10,855","123,849","206,088","103,185","102,903"
628,"Ocala, FL",0,0,24052,4962,10447,1228,259032,9130,23657,97059,33493,194705,43455,28959,"84,187","41,989","42,198","15,275","68,912","66,801","20,675","70,240","2,278",982,"3,917","42,270","66,907","33,692","33,215"
629,"Ocean City, NJ",0,0,7216,905,2624,840,69876,2155,4001,22758,14407,59774,21190,40032,"360,210","172,863","187,347","67,205","293,005","283,051","103,922","287,800","46,559",957,"5,167","170,926","283,985","133,299","150,686"
630,"Odessa, TX",0,0,17020,3493,6317,936,93728,8501,13941,28230,10624,59542,12049,40711,"92,701","45,327","47,374","16,255","76,446","73,866","24,658","83,728","3,703",40,552,"99,394","74,527","36,138","38,389"
631,"Ogden, UT",1,0,61056,8340,21328,3351,387586,8138,17774,96936,82483,333147,112506,40745,"162,067","82,405","79,662","49,111","112,956","106,297","15,523","118,940","7,779","1,237","1,843","59,155","99,647","49,775","49,872"
632,"Ogdensburg-Massena, NY",0,0,15284,1271,3707,811,71856,2631,5469,26522,8292,60755,16261,35168,"672,948","339,701","333,247","205,894","467,054","440,665","73,659","599,227","7,447","3,826","9,693","226,538","449,994","224,788","225,206"
633,"Oil City, PA",0,0,3751,673,1785,221,38202,1279,2634,18496,4506,33654,6572,32493,"108,352","55,194","53,158","21,765","86,587","78,011","18,836","100,308","2,814",732,"1,116","53,328","84,822","43,039","41,783"
634,"Okeechobee, FL",0,0,3429,926,1333,127,28284,3152,3911,10874,2375,18954,2829,29966,"51,355","25,379","25,976","9,933","41,422","40,008","11,576","49,365",577,6,181,"27,593","41,326","20,183","21,143"
635,"Oklahoma City, OK",1,0,138557,18431,41846,12511,890744,37000,61839,242628,173512,618197,216709,37176,"41,611","22,417","19,194","8,861","32,750","31,091","8,216","34,308","3,621",233,393,"18,734","30,131","15,987","14,144"
636,"Olean, NY",0,0,7216,1071,2824,343,53030,2103,4007,20869,5627,44444,9638,34436,"1,397,040","688,854","708,186","343,006","1,054,034","995,801","194,891","1,010,114","143,880","50,026","43,230","578,343","992,251","481,202","511,049"
637,"Olympia-Tumwater, WA",0,0,22967,3445,7402,1719,191915,3746,7732,40832,42893,153936,59102,44021,"284,698","139,329","145,369","60,983","223,715","214,485","49,113","226,452","8,546","3,310","16,360","118,035","215,122","104,469","110,653"
638,"Omaha, NE",1,0,81468,9035,25516,10191,603422,21840,30184,142790,142485,487769,195102,41974,"284,698","139,329","145,369","60,983","223,715","214,485","49,113","226,452","8,546","3,310","16,360","118,035","215,122","104,469","110,653"
639,"Oneonta, NY",0,0,10459,1056,3002,706,39907,952,2545,12780,6456,34997,11683,35060,"940,163","465,794","474,369","240,209","699,954","665,424","129,249","774,807","70,764","4,278","28,716","390,062","661,437","322,860","338,577"
640,"Ontario, OR-ID",0,0,4776,1149,1808,87,34741,2473,3546,11036,3378,26459,4610,31255,"59,593","28,819","30,774","9,498","50,095","44,512","12,582","55,323","1,261",69,760,"31,300","49,312","23,616","25,696"
641,"Opelousas, LA",0,0,7135,2052,3151,245,53648,5259,7585,21964,5158,25773,5300,29047,"54,337","28,557","25,780","13,865","40,472","38,331","9,390","46,672",366,483,756,"21,461","37,431","19,484","17,947"
642,"Orangeburg, SC",0,0,9614,1397,3038,396,59168,2619,5922,19088,6893,20171,4535,27478,"82,786","39,952","42,834","22,172","60,614","57,287","13,255","46,314","34,659",228,33,"37,110","60,146","28,260","31,886"
643,"Orlando, FL",1,0,238138,30512,65309,22556,1668607,65359,110021,437666,346613,1109209,399060,33892,"86,953","40,569","46,384","19,127","67,826","63,307","17,040","30,238","53,592",501,623,"42,856","67,378","30,716","36,662"
644,"Oshkosh-Neenah, WI",0,0,20521,1474,5727,1822,114256,2323,5920,38404,22385,100290,29618,40245,"2,560,260","1,250,887","1,309,373","559,310","2,000,950","1,902,048","378,970","1,688,371","421,719","6,561","112,049","1,054,209","1,802,915","869,874","933,041"
645,"Oskaloosa, IA",0,0,1956,194,471,152,14928,496,821,5799,2317,13185,3191,36453,"170,924","86,174","84,750","35,080","135,844","127,875","27,689","155,159","3,996",822,"4,932","76,023","133,411","66,821","66,590"
646,"Othello, WA",0,0,1935,784,662,57,10676,2643,1135,2888,992,5652,1224,30471,"22,351","11,275","11,076","5,323","17,028","15,812","4,041","21,069",356,28,287,"9,893","16,900","8,344","8,556"
647,"Ottawa, KS",0,0,2333,342,946,119,17003,385,876,6615,2239,15093,3225,37623,"147,596","73,953","73,643","31,556","116,040","111,196","29,075","135,620","3,257",189,"1,220","68,969","113,489","56,459","57,030"
648,"Ottawa-Peru, IL",0,0,11886,1847,4341,786,105210,3020,8047,38263,12743,90317,18442,36695,"25,643","12,926","12,717","6,129","19,514","18,358","4,358","23,787",168,83,95,"11,271","19,301","9,563","9,738"
649,"Ottumwa, IA",0,0,3998,950,894,330,29659,1982,1859,10479,3585,24067,5154,33926,"25,643","12,926","12,717","6,129","19,514","18,358","4,358","23,787",168,83,95,"11,271","19,301","9,563","9,738"
650,"Owatonna, MN",0,0,2985,604,1064,256,24419,729,1320,8378,4203,21446,6006,41526,"35,102","17,473","17,629","7,972","27,130","25,614","6,210","30,517","1,298",86,507,"16,080","25,723","12,508","13,215"
651,"Owensboro, KY",0,0,9578,1349,3347,828,79478,2718,5714,28464,10258,67082,15910,36287,"36,710","18,340","18,370","9,217","27,493","26,273","6,405","33,146","1,280",138,156,"15,710","26,739","13,228","13,511"
652,"Owosso, MI",0,0,5836,649,2247,320,47813,712,2901,17352,5426,43013,7995,35942,"118,951","58,394","60,557","28,973","89,978","85,725","20,487","107,670","4,903",205,"1,955","51,385","88,158","42,486","45,672"
653,"Oxford, MS",0,0,12875,396,1357,1224,30874,836,2417,5818,7389,20787,11488,35002,"118,951","58,394","60,557","28,973","89,978","85,725","20,487","107,670","4,903",205,"1,955","51,385","88,158","42,486","45,672"
654,"Oxford, NC",0,0,5224,1350,1725,327,41378,3030,3492,12936,6298,22997,7004,36162,"54,059","26,144","27,915","10,026","44,033","36,743","6,832","38,602","12,793",166,"1,135","26,091","42,820","20,533","22,287"
655,"Oxnard, CA",0,0,81828,10015,23151,6918,566685,54147,34038,107135,117739,388963,145755,41777,"54,059","26,144","27,915","10,026","44,033","36,743","6,832","38,602","12,793",166,"1,135","26,091","42,820","20,533","22,287"
656,"Ozark, AL",0,0,4367,670,1530,322,33382,1517,3215,10924,3739,21829,4512,32221,"845,599","418,591","427,008","193,847","651,752","617,370","131,672","637,686","15,422","6,990","61,239","289,425","569,916","277,005","292,911"
657,"Paducah, KY-IL",0,0,7109,1368,2578,509,68531,2661,5380,22427,9067,55046,13114,33025,"49,293","24,265","25,028","11,329","37,964","36,364","8,331","35,286","10,193",413,680,"23,151","37,289","18,215","19,074"
658,"Pahrump, NV",0,0,2428,648,1256,31,33820,1222,3594,12475,2848,25023,3631,33221,"96,612","46,570","50,042","21,248","75,364","71,960","19,578","84,270","7,905",259,659,"48,130","74,932","35,456","39,476"
659,"Palatka, FL",0,0,5300,1213,2597,159,51840,3218,6669,21110,4083,35384,5645,26182,"45,514","23,296","22,218","7,722","37,792","36,609","13,634","36,795",965,717,793,"22,448","35,643","18,164","17,479"
660,"Palestine, TX",0,0,4639,1116,2216,105,42009,2707,5644,15224,3189,25290,4142,29757,"73,784","36,288","37,496","15,760","58,024","56,017","16,898","57,871","12,026",276,445,"37,497","56,070","27,226","28,844"
661,"Palm Bay-Melbourne-Titusville, FL",0,0,43221,6645,13566,3684,426776,9988,24246,122135,77525,340143,110179,35363,"57,917","35,438","22,479","11,105","46,812","45,133","8,381","41,263","12,114",237,350,"20,639","44,815","28,193","16,622"
662,"Pampa, TX",0,0,1756,360,686,65,15109,1134,1873,4883,1541,10795,1904,33778,"594,001","290,456","303,545","108,664","485,337","466,337","140,835","480,662","58,641","1,630","14,160","280,648","469,493","227,556","241,937"
663,"Panama City, FL",0,0,16517,3198,5985,1054,139981,4182,10027,44695,20273,106545,27715,32423,"22,847","12,100","10,747","5,788","17,059","16,269","3,742","19,220","1,076",334,76,"10,440","15,762","8,380","7,382"
664,"Paragould, AR",0,0,3927,515,1596,319,29705,1103,2664,13130,3328,25215,4656,33021,"180,076","89,372","90,704","38,057","142,019","136,312","31,522","144,830","19,301",547,"4,073","104,060","136,796","67,585","69,211"
665,"Paris, TN",0,0,2196,329,1228,76,23346,1154,2118,11010,2347,18289,3809,28878,"45,197","22,127","23,070","11,031","34,166","32,660","7,229","42,324","1,046",125,169,"19,185","33,955","16,402","17,553"
666,"Paris, TX",0,0,4065,815,1409,184,33676,1682,3519,11329,4199,23886,5298,31721,"32,251","15,369","16,882","6,623","25,628","24,535","7,437","28,360","2,653",103,79,"17,270","25,501","12,097","13,404"
667,"Parkersburg-Vienna, WV",0,0,7009,1039,2658,368,65054,2087,4871,23019,8337,56586,13265,32424,"49,705","23,773","25,932","11,833","37,872","36,164","9,609","39,645","6,413",657,383,"22,807","36,764","17,216","19,548"
668,"Parsons, KS",0,0,1642,378,545,119,13852,592,1071,4517,1616,11233,2358,31939,"90,151","43,650","46,501","18,946","71,205","68,047","18,335","86,642","1,309",300,357,"43,618","70,872","33,958","36,914"
669,"Payson, AZ",0,0,3596,881,1395,170,38955,1575,4143,11144,4590,28384,6572,30289,"19,938","9,858","10,080","4,780","15,158","14,515","3,795","17,625",904,169,26,"10,039","15,120","7,357","7,763"
670,"Pecos, TX",0,0,1682,340,761,19,10073,1854,1786,2779,787,4869,863,34959,"20,013","12,195","7,818","4,690","15,323","14,142","2,424","15,801",805,40,192,"5,991","12,926","7,777","5,149"
671,"Pella, IA",0,0,3663,219,1050,225,21612,635,796,7665,3870,19584,5503,40524,"15,663","9,641","6,022","3,502","12,161","11,293","1,880","12,230",328,10,182,"4,739","10,207","6,064","4,143"
672,"Pensacola-Ferry Pass-Brent, FL",0,0,51729,7048,16907,4301,327072,7542,21566,89164,58190,237313,75607,35194,"33,193","16,580","16,613","7,717","25,476","23,782","5,895","31,719",350,59,343,"14,280","25,224","12,464","12,760"
673,"Peoria, IL",0,1,31249,3886,9260,3061,255465,6044,15115,76557,47452,209461,64742,39638,"496,278","248,233","248,045","105,775","390,503","368,831","82,127","365,024","80,337","1,979","13,273","215,479","381,102","189,815","191,287"
674,"Peru, IN",0,0,3208,734,1396,177,24972,936,2682,10615,2007,19702,2995,32097,"403,747","198,561","205,186","92,741","311,006","296,833","73,631","342,812","35,243",796,"9,500","183,156","304,766","147,628","157,138"
675,"Philadelphia, PA",1,0,561844,65503,178745,83192,4172132,142467,260465,1226775,915001,2718937,1204220,46260,"35,684","18,797","16,887","7,563","28,121","26,947","6,202","32,105","1,591",214,219,"15,398","27,756","14,761","12,995"
676,"Phoenix, AZ",1,0,433544,69780,142005,38169,3099741,180978,215496,720356,606261,2232398,796945,39482,"6,092,403","2,946,671","3,145,732","1,322,806","4,769,597","4,538,568","976,503","3,979,803","1,267,562","11,855","369,613","2,497,830","4,503,629","2,135,801","2,367,828"
677,"Picayune, MS",0,0,5154,741,1575,113,37540,1895,4115,11239,4119,27745,5628,36095,"4,860,338","2,414,389","2,445,949","1,152,190","3,708,148","3,517,680","762,918","3,599,630","269,842","106,287","194,664","1,943,813","3,342,421","1,642,396","1,700,025"
678,"Pierre, SD",0,0,1500,229,508,148,15149,429,679,4382,3607,12696,5019,41966,"55,512","27,409","28,103","12,433","43,079","40,582","10,483","46,155","7,102",397,184,"25,645","42,759","20,845","21,914"
